link;kom0;kom1;kom2;kom3;kom4;kom5;Число избирателей, включенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных участковой избирательной комиссией избирателям в помещении;Число избирательных бюллетеней, выданных комиссией избирателям, проголосовавшим вне помещения;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных комиссией избирателям на участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных территориальной избирательной комиссией избирателям;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Абрамов Иван Николаевич;Жаровский Дмитрий Сергеевич;Кобызов Роман Александрович;Кожемяко Олег Николаевич
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001001&tvd=4284001161568&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161568;УИК №1;Архаринская;Избирательная комиссия Амурской области;"";"";"";1527;1500;0;347;52;1101;52;347;6;393;10;0;1;10;0;0;0;0;28;8;45;312
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001003&tvd=4284001161570&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161570;УИК №3;Архаринская;Избирательная комиссия Амурской области;"";"";"";1481;1500;0;351;34;1115;34;351;7;378;10;0;0;10;0;0;0;0;23;11;45;299
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001002&tvd=4284001161569&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161569;УИК №2;Архаринская;Избирательная комиссия Амурской области;"";"";"";1448;1500;0;382;129;989;129;382;12;499;10;2;0;8;0;0;0;0;38;14;45;402
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001004&tvd=4284001161571&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161571;УИК №4;Архаринская;Избирательная комиссия Амурской области;"";"";"";1527;1500;0;383;95;1022;95;381;8;468;10;1;0;9;0;0;0;0;40;18;46;364
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001005&tvd=4284001161572&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161572;УИК №5;Архаринская;Избирательная комиссия Амурской области;"";"";"";1450;1500;0;282;53;1165;53;282;7;328;10;1;0;9;0;0;0;0;31;2;36;259
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001006&tvd=4284001161573&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161573;УИК №6;Архаринская;Избирательная комиссия Амурской области;"";"";"";328;300;0;42;28;230;28;42;0;70;5;0;0;5;0;0;0;0;6;1;4;59
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001007&tvd=4284001161574&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161574;УИК №7;Архаринская;Избирательная комиссия Амурской области;"";"";"";574;590;0;239;27;324;27;239;2;264;7;0;1;7;0;0;0;0;17;3;31;213
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001008&tvd=4284001161575&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161575;УИК №8;Архаринская;Избирательная комиссия Амурской области;"";"";"";72;80;0;51;1;28;1;51;1;51;3;0;0;3;0;0;0;0;6;2;2;41
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001009&tvd=4284001161576&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161576;УИК №9;Архаринская;Избирательная комиссия Амурской области;"";"";"";178;180;0;58;24;98;24;58;1;81;3;0;2;3;0;0;0;0;5;3;5;68
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001010&tvd=4284001161577&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161577;УИК №10;Архаринская;Избирательная комиссия Амурской области;"";"";"";132;140;0;78;35;27;35;78;0;113;3;0;0;3;0;0;0;0;3;3;2;105
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001011&tvd=4284001161578&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161578;УИК №11;Архаринская;Избирательная комиссия Амурской области;"";"";"";287;300;0;157;26;117;26;157;6;177;4;4;0;0;0;0;0;0;20;10;16;131
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001012&tvd=4284001161579&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161579;УИК №12;Архаринская;Избирательная комиссия Амурской области;"";"";"";475;500;0;203;86;211;86;203;3;286;5;0;1;5;0;0;0;0;17;6;36;227
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001013&tvd=4284001161580&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161580;УИК №13;Архаринская;Избирательная комиссия Амурской области;"";"";"";333;340;0;152;33;155;33;152;6;179;3;3;0;0;0;0;0;0;20;11;14;134
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001014&tvd=4284001161581&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161581;УИК №14;Архаринская;Избирательная комиссия Амурской области;"";"";"";173;170;0;100;20;50;20;100;3;117;3;0;0;3;0;0;0;0;4;5;6;102
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001015&tvd=4284001161582&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161582;УИК №15;Архаринская;Избирательная комиссия Амурской области;"";"";"";116;100;0;52;17;31;17;52;1;68;3;0;3;3;0;0;0;0;12;4;2;50
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001016&tvd=4284001161583&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161583;УИК №16;Архаринская;Избирательная комиссия Амурской области;"";"";"";700;700;0;327;64;309;64;327;5;386;7;0;0;7;0;0;0;0;30;5;37;314
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001017&tvd=4284001161584&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161584;УИК №17;Архаринская;Избирательная комиссия Амурской области;"";"";"";342;350;0;120;47;183;47;120;2;165;5;0;1;5;0;0;0;0;11;1;7;146
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001018&tvd=4284001161585&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161585;УИК №18;Архаринская;Избирательная комиссия Амурской области;"";"";"";50;50;0;38;0;12;0;38;0;38;3;0;1;3;0;0;0;0;2;0;1;35
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001019&tvd=4284001161586&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161586;УИК №19;Архаринская;Избирательная комиссия Амурской области;"";"";"";281;290;0;133;38;119;38;133;4;167;3;0;0;3;0;0;0;0;14;5;13;135
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001020&tvd=4284001161587&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161587;УИК №20;Архаринская;Избирательная комиссия Амурской области;"";"";"";169;160;0;97;12;51;12;97;1;108;3;0;0;3;0;0;0;0;14;5;3;86
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001021&tvd=4284001161588&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161588;УИК №21;Архаринская;Избирательная комиссия Амурской области;"";"";"";159;160;0;52;40;68;40;52;2;90;3;0;0;3;0;0;0;0;7;2;9;72
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001022&tvd=4284001161589&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161589;УИК №22;Архаринская;Избирательная комиссия Амурской области;"";"";"";708;700;0;261;104;335;104;261;7;358;10;0;0;10;0;0;0;0;12;4;19;323
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001023&tvd=4284001161590&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161590;УИК №23;Архаринская;Избирательная комиссия Амурской области;"";"";"";127;130;0;69;6;55;6;69;0;75;3;0;0;3;0;0;0;0;9;4;8;54
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001024&tvd=4284001161591&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161591;УИК №24;Архаринская;Избирательная комиссия Амурской области;"";"";"";327;340;0;122;28;190;28;122;3;147;3;0;2;3;0;0;0;0;15;3;9;120
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001025&tvd=4284001161592&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161592;УИК №25;Архаринская;Избирательная комиссия Амурской области;"";"";"";128;130;0;68;13;49;13;68;3;78;3;0;0;3;0;0;0;0;7;4;8;59
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001026&tvd=4284001161593&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161593;УИК №26;Архаринская;Избирательная комиссия Амурской области;"";"";"";345;350;0;87;101;162;101;87;5;183;6;4;5;2;0;0;0;0;17;4;16;146
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284001027&tvd=4284001161594&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284001161594;УИК №27;Архаринская;Избирательная комиссия Амурской области;"";"";"";430;440;0;92;113;235;113;92;7;198;5;0;0;5;0;0;0;0;8;13;13;164
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284022001&tvd=4284022152185&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284022152185;УИК №28;Белогорская;Избирательная комиссия Амурской области;"";"";"";229;200;0;94;10;96;10;94;2;102;4;0;5;4;0;0;0;0;3;1;3;95
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284022002&tvd=4284022152186&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284022152186;УИК №29;Белогорская;Избирательная комиссия Амурской области;"";"";"";1748;1500;0;493;28;979;28;493;6;515;10;8;1;2;0;0;0;0;18;3;49;445
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284022003&tvd=4284022152187&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284022152187;УИК №30;Белогорская;Избирательная комиссия Амурской области;"";"";"";189;190;0;73;9;108;9;73;1;81;4;0;0;4;0;0;0;0;3;0;9;69
http://www.amur.vybory.izbirkom.ru/region/amur?action=show&root=284022004&tvd=4284022152188&vrn=2282000464309&prver=0&pronetvd=null&region=28&sub_region=28&type=234&vibid=4284022152188;УИК №31;Белогорская;Избирательная комиссия Амурской области;"";"";"";102;100;0;35;6;59;6;35;1;40;4;0;1;4;0;0;0;0;4;1;2;33
