date,gold,silver,platinum,palladium
09.02.2012,1663.9600,31.7700,1574.2200,673.9800
10.02.2012,1653.6600,32.8000,1588.7700,681.3100
11.02.2012,1648.7000,32.4800,1583.8300,674.6600
14.02.2012,1659.4700,32.2400,1597.9700,675.5100
15.02.2012,1664.7400,32.7300,1581.5600,666.4800
16.02.2012,1661.1800,32.2600,1572.1200,662.3500
17.02.2012,1666.6900,32.7200,1565.6800,659.4900
18.02.2012,1670.4500,32.0000,1578.8300,670.3000
21.02.2012,1655.9400,32.0600,1577.9000,663.5200
22.02.2012,1663.0700,32.1300,1596.0500,671.1600
23.02.2012,1679.4700,32.2100,1620.3700,680.5000
25.02.2012,1683.9000,32.7100,1625.6700,678.8600
28.02.2012,1652.8100,33.3100,1591.9400,664.8700
29.02.2012,1651.8900,32.6600,1591.6200,658.9900
01.03.2012,1668.5300,33.2200,1611.6100,670.0300
02.03.2012,1620.6000,35.0600,1593.2900,662.9300
03.03.2012,1614.8700,32.5500,1602.1500,669.6800
06.03.2012,1598.9500,33.1600,1567.8800,664.8200
07.03.2012,1595.9400,32.3600,1545.2800,651.4400
08.03.2012,1604.5300,31.6800,1544.9300,643.7200
12.03.2012,1602.7100,32.1700,1571.8400,655.3300
13.03.2012,1626.4700,32.3100,1606.2000,673.3800
14.03.2012,1607.8800,32.0400,1610.9600,664.1200
15.03.2012,1576.9900,31.8600,1597.8600,663.2400
16.03.2012,1566.2100,31.2300,1597.8300,663.8600
17.03.2012,1556.4500,30.5400,1578.1600,661.6600
20.03.2012,1553.9700,30.3200,1570.8800,657.6600
21.03.2012,1545.7700,30.4200,1560.3000,653.5600
22.03.2012,1555.0800,30.2600,1553.2000,653.5800
23.03.2012,1538.2300,30.0600,1520.3700,637.4800
24.03.2012,1560.7800,30.0500,1536.2000,618.2600
27.03.2012,1558.1900,29.6400,1526.2400,621.2100
28.03.2012,1576.5400,30.0000,1545.8300,622.6100
29.03.2012,1568.1400,30.8700,1533.5400,611.5500
30.03.2012,1558.9600,30.5300,1545.0700,610.1200
31.03.2012,1565.9600,29.9800,1549.2200,612.9000
03.04.2012,1570.0800,30.6000,1543.6600,618.9700
04.04.2012,1577.3400,30.5300,1561.5600,620.6700
05.04.2012,1543.8800,31.1900,1539.3800,610.2700
06.04.2012,1535.2200,30.2600,1518.6600,605.5700
07.04.2012,1544.8500,29.6200,1507.9100,601.4600
10.04.2012,1554.0400,29.7900,1516.8800,605.0400
11.04.2012,1566.1900,29.7900,1534.9900,616.4700
12.04.2012,1584.8600,30.2300,1529.2800,610.3700
13.04.2012,1573.8300,30.1400,1515.3600,611.2800
14.04.2012,1582.8300,29.8200,1510.3400,614.9400
17.04.2012,1577.1300,30.9700,1503.2100,615.2500
18.04.2012,1574.1000,29.8400,1497.8700,622.2100
19.04.2012,1561.5000,30.0100,1502.2300,626.8800
20.04.2012,1557.9900,29.9900,1510.5500,627.1800
21.04.2012,1556.5800,29.8700,1496.7800,626.4300
24.04.2012,1547.2300,30.1400,1491.3000,633.3000
25.04.2012,1551.8900,29.5100,1473.5300,636.3800
26.04.2012,1545.8800,29.0700,1459.9400,630.1300
27.04.2012,1551.4600,29.0700,1467.4500,626.8900
28.04.2012,1564.6600,29.0400,1482.3600,632.8600
29.04.2012,1570.4000,29.4000,1484.9600,639.1100
03.05.2012,1560.4400,29.0700,1477.8200,637.4000
04.05.2012,1555.8700,28.9100,1474.8800,631.8200
05.05.2012,1550.4000,28.8900,1453.8300,624.6300
06.05.2012,1575.2600,28.6500,1466.2500,635.3700
11.05.2012,1543.2600,27.9200,1452.0200,596.9200
12.05.2012,1536.3900,28.4300,1425.8300,585.1100
13.05.2012,1535.9600,27.7300,1422.4400,587.0200
15.05.2012,1520.8700,27.8100,1411.8900,575.0700
16.05.2012,1520.2200,27.6300,1410.0400,583.1300
17.05.2012,1531.1900,28.1600,1420.1500,590.5700
18.05.2012,1538.9500,27.1100,1438.4800,600.8600
19.05.2012,1602.7300,27.7300,1471.5300,611.6200
22.05.2012,1593.0500,28.5300,1470.5800,618.0900
23.05.2012,1573.7700,28.3500,1459.1600,610.2300
24.05.2012,1568.8400,28.3200,1435.6600,609.3800
25.05.2012,1584.6200,28.2300,1440.7400,599.8900
26.05.2012,1593.3000,28.6700,1460.0500,604.4400
29.05.2012,1615.7300,28.9000,1472.4700,611.9100
30.05.2012,1623.4600,29.4200,1481.3600,625.1400
31.05.2012,1615.8400,29.4700,1474.2100,621.8200
01.06.2012,1658.9100,29.2900,1494.3400,645.5700
02.06.2012,1684.0200,30.4800,1514.2600,653.0000
05.06.2012,1757.6000,29.9600,1539.8100,664.3000
06.06.2012,1714.2600,29.2300,1501.8400,647.9200
07.06.2012,1721.7500,28.8600,1541.2200,656.7600
08.06.2012,1677.4800,30.3900,1512.1400,646.8800
09.06.2012,1658.7100,30.8200,1493.4700,645.1700
10.06.2012,1651.6500,29.5100,1484.5500,642.2200
14.06.2012,1697.2500,30.0400,1527.0200,652.4800
15.06.2012,1695.6800,30.2400,1555.3300,651.4600
16.06.2012,1689.5800,30.0800,1553.9300,662.4000
19.06.2012,1677.1600,29.6100,1535.1100,646.6900
20.06.2012,1703.2700,29.7400,1554.2200,657.8800
21.06.2012,1692.2900,30.1200,1548.2900,656.5300
22.06.2012,1692.6900,29.9500,1541.4100,652.7400
23.06.2012,1692.4700,30.0500,1545.3700,657.3700
26.06.2012,1673.2100,28.5900,1531.3700,649.4500
27.06.2012,1688.6000,28.5000,1534.7500,644.1900
28.06.2012,1654.9300,28.9700,1487.5900,614.9900
29.06.2012,1660.3800,28.4200,1489.0700,614.2700
30.06.2012,1655.9600,28.2900,1484.5100,599.2900
03.07.2012,1669.3900,28.3200,1508.0700,606.5800
04.07.2012,1679.6300,28.5700,1531.8700,608.7800
05.07.2012,1674.3400,28.9100,1532.4800,622.3100
06.07.2012,1687.9200,29.3500,1552.4600,623.2800
07.07.2012,1669.5600,29.7100,1538.7100,609.4000
10.07.2012,1676.9300,28.9800,1527.3700,614.1300
11.07.2012,1690.4600,28.8800,1525.6000,618.0900
12.07.2012,1663.9200,29.1000,1504.0200,611.1100
13.07.2012,1646.7500,28.5200,1485.2800,604.8400
14.07.2012,1657.9700,28.0000,1497.3100,607.9600
17.07.2012,1661.2700,28.8200,1492.4200,607.2400
18.07.2012,1666.3800,28.2600,1491.9100,611.1800
19.07.2012,1645.5500,28.5700,1476.2500,606.3400
20.07.2012,1629.4200,27.8800,1457.2000,600.2000
21.07.2012,1626.1300,28.2000,1453.5500,597.8600
24.07.2012,1635.7900,28.1800,1451.0300,592.2800
25.07.2012,1650.3200,28.2700,1461.4700,591.7200
26.07.2012,1682.5500,28.5400,1474.2800,597.7700
27.07.2012,1681.2800,28.4300,1469.4200,593.6400
28.07.2012,1676.5000,28.8000,1467.5500,593.4400
31.07.2012,1672.8700,28.7000,1446.7500,588.8400
01.08.2012,1680.2600,28.6200,1469.2900,609.8700
02.08.2012,1678.5400,29.3100,1467.7800,612.2700
03.08.2012,1674.2900,29.0800,1458.8000,608.3600
04.08.2012,1668.4600,28.6800,1456.1100,599.3900
07.08.2012,1650.2300,27.9900,1433.7700,591.5900
08.08.2012,1642.0900,28.2200,1434.4100,593.5100
09.08.2012,1637.3400,28.5300,1431.5200,596.0400
10.08.2012,1632.3100,28.1800,1431.1500,595.1300
11.08.2012,1649.5600,28.7400,1437.7900,594.8000
14.08.2012,1662.2600,28.5700,1434.5300,596.3600
15.08.2012,1649.3000,28.6500,1430.1800,589.9500
16.08.2012,1633.1900,28.5100,1431.7000,589.8800
17.08.2012,1644.6200,28.3500,1433.8500,591.8000
18.08.2012,1655.1400,28.5100,1490.8000,601.0300
21.08.2012,1662.6600,29.0300,1513.1500,618.6400
22.08.2012,1668.7500,28.8700,1523.8700,621.6700
23.08.2012,1677.5300,29.5700,1559.4200,646.2700
24.08.2012,1693.4700,29.8800,1577.8600,647.8500
25.08.2012,1704.3500,31.0100,1570.8800,659.6500
28.08.2012,1708.1000,31.1200,1574.8900,658.8500
29.08.2012,1712.4300,31.2600,1567.7900,661.9100
30.08.2012,1717.2600,31.7900,1568.4100,654.1900
31.08.2012,1720.3900,31.9100,1582.3000,657.2200
01.09.2012,1735.7500,32.1000,1578.9500,647.0800
04.09.2012,1757.2100,31.8100,1608.1700,660.7800
05.09.2012,1751.1000,32.8600,1607.7200,657.3800
06.09.2012,1763.2300,33.4800,1612.4200,661.6700
07.09.2012,1768.7200,33.2300,1635.6900,669.8000
08.09.2012,1745.6600,33.8300,1625.2300,663.8900
11.09.2012,1767.2100,32.8600,1627.7400,674.1500
12.09.2012,1768.4700,34.3300,1630.5500,682.4600
13.09.2012,1763.7300,33.9200,1655.7000,686.1600
14.09.2012,1746.9500,34.2500,1662.6600,684.4500
15.09.2012,1756.2400,32.7000,1678.4600,685.6500
18.09.2012,1737.8900,34.1300,1666.8400,675.5900
19.09.2012,1744.1000,34.2800,1645.0700,671.1300
20.09.2012,1760.8000,33.8000,1627.3400,668.8000
21.09.2012,1786.7300,35.1800,1636.4800,673.0700
22.09.2012,1777.3500,34.3200,1638.3200,676.3700
25.09.2012,1766.8600,34.8500,1615.6400,653.0900
26.09.2012,1770.0000,33.7900,1621.9800,647.1900
27.09.2012,1770.4800,34.1400,1633.2000,635.4100
28.09.2012,1760.4200,33.9800,1639.8200,631.8600
29.09.2012,1770.3200,33.7500,1651.0400,634.1700
02.10.2012,1779.0600,34.8200,1666.0100,640.0800
03.10.2012,1780.3000,34.3800,1676.7000,645.6500
04.10.2012,1782.4400,34.9500,1678.8900,649.8900


